CSP	len	n	d	d_avg	e	AC_Time	BC_Time

aim-50-2-0-unsat-2	5264	50	2	2	94	0.71	0.65
AllInterval-007	682	25	13	7.96	20	0.07	0.07
AllInterval-012	870	45	23	14.2	35	0.14	0.13
AllInterval-016	1026	61	31	19.1967	47	0.20	0.19
AllInterval-035	1767	137	69	42.9416	104	0.65	0.91
AllInterval-050	2352	197	99	61.6904	149	1.42	5.27
AllInterval-080	3522	317	159	99.1893	239	6.65	203.52
bdd-15-21-2-2713-79-08	381187	21	2	2	2713	41.39	40.37
bqwh-15-106-35_X2	5400	106	6	3.91509	30	0.43	4.53
bqwh-15-106-36_X2	5249	106	6	3.4434	30	0.21	1.46
bqwh-18-141-09_X2	7073	141	6	3.6383	36	7.99	597.87
bqwh-18-141-31_X2	7140	141	7	3.96454	36	0.33	828.42
bqwh-18-141-83_X2	7025	141	6	3.52482	36	5.18	837.63
ColouredQueens-03	928	9	3	3	12	0.01	0.01
composed-25-01-25-3	43579	33	10	9.90909	247	0.09	0.04
composed-25-10-20-5	135120	105	10	10	620	0.31	1481.76
Crossword-m1c-ogd-h2310	4852190	529	26	25.9792	156	40.89	83.52
Crossword-m1c-uk-vg-4-8	750581	32	26	26	12	11.39	14.81
Crossword-m1c-words-p20	227601	81	26	26	24	0.65	0.58
driverlogw-01c	9027	71	4	2.49296	217	0.02	0.02
driverlogw-04c	210909	272	11	3.77206	3876	3.03	50.28
Dubois-021	2411	63	2	2	42	149.08	140.53
Dubois-022	2489	66	2	2	44	303.95	291.51
ehi-85-297-30	154896	297	7	7	4121	84.50	0.33
ehi-85-297-98	155039	297	7	6.9899	4124	0.32	0.34
ehi-90-315-13	163879	315	7	6.99365	4391	0.27	0.30
ehi-90-315-37	164110	315	7	6.99365	4374	0.34	0.33
geometric-50-20-d4-75-03	278930	50	20	20	394	0.50	0.51
geometric-50-20-d4-75-54	293511	50	20	20	412	0.30	0.66
jnh-012	68715	100	2	1.88	848	0.17	0.12
jnh-213	64631	100	2	1.86	797	0.12	0.08
jnh-302	72835	100	2	1.62	898	0.09	0.13
Kakuro-easy-015-sumdiff	7123	194	9	4.84536	108	0.07	0.05
Kakuro-easy-079-sumdiff	12527	344	9	4.20058	208	0.13	0.11
Kakuro-easy-084-ext	246628	240	9	3.8	100	0.48	0.40
Kakuro-easy-109-ext	779716	256	9	3.375	100	0.97	1.15
Kakuro-easy-150-ext	683261	256	9	4.22266	88	0.79	0.78
Kakuro-easy-164-sumdiff	11361	344	9	5.63081	176	0.30	0.30
Kakuro-hard-179-sumdiff	28557	996	9	4.67771	584	2.02	666.57
Kakuro-medium-016-ext	57860	140	9	4.08571	58	0.15	0.15
Kakuro-medium-020-ext	36374	140	9	4.37143	54	0.09	0.09
Kakuro-medium-055-sumdiff	8576	234	9	4.70085	132	0.09	0.05
Kakuro-medium-162-ext	14107625	256	9	3.875	92	13.81	14.25
Langford-3-05	741	25	11	7	21	0.12	0.12
Langford-4-04	819	28	9	3.5	25	0.13	0.15
Langford-4-05	936	35	14	8	31	0.17	0.17
MagicHexagon-02-0000	1531	18	7	1.66667	16	0.14	0.09
MagicSquare-3-sum	861	17	9	5.23529	9	0.02	0.01
MagicSquare-3-table	1890	9	9	9	9	0.01	0.01
MagicSquare-4-table	67492	16	16	16	11	0.24	0.11
MagicSquare-5-table	7149205	25	25	25	13	139.94	1627.44
MarketSplit-03	947	151	100	39.3377	121	1149.24	264.75
MarketSplit-05	948	153	99	38.7843	123	674.29	309.90
MarketSplit-07	971	152	100	40.7368	122	595.51	148.30
MarketSplit-08	920	154	100	39.2468	124	292.73	115.03
MarketSplit-09	960	152	100	40.0329	122	570.38	270.14
MarketSplit-10	962	151	100	41.3377	121	243.32	142.11
MultiKnapsack-1-03	2003	235	2536	74.7149	215	14.62	0.87
MultiKnapsack-2-41	1047	136	1126	50.0294	109	73.21	2.90
MultiKnapsack-2-48	1153	180	1126	49.5778	145	811.88	43.36
Nonogram-018-table	3036260	576	2	1.37153	48	3.14	2.98
Nonogram-035-table	381091	576	2	1.75868	48	2.48	2.49
Nonogram-096-table	6589479	576	2	1.73785	48	5.79	5.73
Nonogram-168-table	1005747	400	1	1	40	1.20	1.04
Nonogram-177-table	2858292	1024	2	1.12402	64	2.57	2.69
Nonogram-180-table	30929210	1024	2	1.20703	64	32.95	34.15
Pb-queen-0974553	10843	1137	39	3.12665	968	25.70	3.47
pigeonsPlus-07-05	87421	42	7	6.83333	35	17.76	8.76
pigeonsPlus-08-04	23837	40	8	7.8	44	52.36	28.48
pigeonsPlus-09-03	6195	36	9	8.75	54	239.93	143.16
Primes-10-20-3-3	3133	213	784	129.488	113	10.79	0.04
Primes-10-60-3-3	9126	444	784	164.903	344	46.51	659.36
Primes-15-20-2-5	3218	219	2116	351.187	119	168.98	0.16
